file,Rinf,Ro,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pe-f,Pe-i,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
file,Rinf,Ro,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pe-f,Pe-i,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
file,Rinf,Ro,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pe-f,Pe-i,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
BC29083-2024-11-07.z,2.36E+02,1.62E+05,1.37E+05,3.62E-10,6.92E-12,7.15E-01,1.68E+05,2.36E+02,3.61E-10,6.90E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,1.89E+10,6.67E-11,8.42E-11,2.46E+04,8.09E-06,1.29E-07,2.81E-01,5.02E+01,9.07E+05,1.86E-07,2.97E-09,1.00E+10,1.12E-03,5.90E-01,-3.73E-02,1.59E+05,1.14E+11,7.26E-02,4.96E+00,1.58E+01,1.63E+05,9.50E+04,1.18E+04,7.29E+03,3.72E+03,2.82E+03,1.99E+03,1.17E+03,6.74E+02,3.04E+02,p3Zarc,C,1.00E-09,2.51E+05,1.00E-01,2024-11-19/12:27:59
BC29089-2024-11-07.z,1.78E+02,9.55E+04,8.15E+04,4.37E-10,9.37E-12,7.27E-01,2.09E+05,1.79E+02,4.35E-10,9.33E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,6.67E+09,1.89E-10,2.39E-10,1.38E+04,2.26E-05,3.42E-07,2.17E-01,3.36E+01,5.64E+05,4.74E-07,7.18E-09,1.00E+10,6.74E-04,4.62E-01,1.72E-01,9.25E+04,1.84E+01,6.21E-02,5.66E+00,1.71E+01,9.49E+04,5.43E+04,5.89E+03,3.93E+03,2.23E+03,1.76E+03,1.28E+03,7.83E+02,4.61E+02,2.11E+02,p3Zarc,C,1.00E-09,2.51E+05,1.00E-01,2024-11-19/12:53:48
BC29104-2024-11-07.z,3.04E+02,1.68E+05,1.20E+05,1.98E-10,7.51E-12,7.65E-01,1.77E+05,3.04E+02,1.97E-10,7.47E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,1.45E+10,8.70E-11,1.10E-10,4.79E+04,7.85E-07,1.40E-10,2.76E-01,2.38E+04,4.24E+05,6.35E-08,1.13E-11,1.00E+10,3.46E-04,4.01E-01,-2.13E+00,1.67E+05,1.13E+01,4.57E-02,2.03E+00,6.82E+00,1.71E+05,9.88E+04,7.82E+03,3.87E+03,1.72E+03,1.26E+03,8.68E+02,5.00E+02,2.85E+02,1.28E+02,p3Zarc,C,1.00E-09,2.51E+05,1.00E-01,2024-11-19/12:54:43
BC29106-2024-11-07.z,1.19E+03,1.76E+05,1.27E+05,5.75E-10,9.98E-12,7.02E-01,1.26E+05,1.20E+03,5.64E-10,9.79E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,1.63E+10,7.73E-11,9.75E-11,4.85E+04,2.14E-06,2.02E-08,3.27E-01,1.63E+02,4.64E+05,1.62E-07,1.53E-09,1.00E+10,1.17E-03,4.95E-01,-2.06E+00,1.73E+05,2.54E+01,1.18E-01,5.50E+00,1.85E+01,1.78E+05,1.12E+05,2.10E+04,1.13E+04,5.02E+03,3.66E+03,2.48E+03,1.41E+03,7.97E+02,3.54E+02,p3Zarc,C,1.00E-09,2.51E+05,3.98E-02,2024-11-19/12:56:16
BC29110-2024-11-07.z,1.41E+02,5.83E+04,5.37E+04,8.02E-11,9.69E-12,8.54E-01,3.06E+05,1.42E+02,7.97E-11,9.64E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,2.90E+09,4.36E-10,5.49E-10,4.45E+03,5.02E-05,8.00E-07,2.66E-01,4.47E+01,7.05E+05,2.93E-07,4.66E-09,1.00E+10,1.74E-03,4.84E-01,-2.03E+00,5.76E+04,3.57E+01,3.50E-02,2.65E+00,8.37E+00,5.84E+04,3.20E+04,2.04E+03,1.31E+03,6.93E+02,5.32E+02,3.78E+02,2.25E+02,1.30E+02,5.89E+01,p3Zarc,A,1.00E-09,3.98E+05,2.51E-01,2024-11-19/12:58:12
BC29112-2024-11-08.z,2.56E+02,6.77E+04,5.93E+04,2.33E-10,1.01E-11,7.81E-01,2.67E+05,2.57E+02,2.31E-10,9.98E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,3.54E+09,3.56E-10,4.49E-10,8.19E+03,3.36E-05,7.34E-07,2.53E-01,2.65E+01,4.92E+05,4.91E-07,1.07E-08,1.00E+10,1.21E-03,5.15E-01,-3.79E-03,6.62E+04,1.22E+10,5.71E-02,4.77E+00,1.47E+01,6.75E+04,3.81E+04,3.85E+03,2.55E+03,1.40E+03,1.09E+03,7.80E+02,4.69E+02,2.73E+02,1.24E+02,p3Zarc,A,1.00E-09,3.98E+05,6.31E-02,2024-11-19/12:59:01
BC29113-2024-11-08.z,1.10E+03,2.27E+06,2.12E+06,2.87E-10,9.75E-12,6.86E-01,7.71E+03,1.11E+03,2.87E-10,9.74E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,4.49E+12,2.81E-13,3.54E-13,1.53E+05,1.56E-06,1.28E-07,3.65E-01,8.14E+00,3.15E+07,7.03E-09,5.79E-10,1.00E+10,2.55E-05,5.63E-01,1.46E-01,2.25E+06,3.69E+01,6.71E-02,2.89E+00,9.81E+00,2.37E+06,1.59E+06,1.59E+05,7.73E+04,3.51E+04,2.57E+04,1.74E+04,9.85E+03,5.55E+03,2.46E+03,p3Zarc,A,1.00E-09,1.00E+04,1.59E-01,2024-11-19/12:59:34
BC29116-2024-11-07.z,1.50E+03,8.91E+05,8.32E+05,1.36E-09,1.74E-11,6.09E-01,1.10E+04,1.51E+03,1.36E-09,1.73E-11,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,6.95E+11,1.81E-12,2.29E-12,5.66E+04,5.11E-06,1.65E-06,5.23E-01,1.70E+00,1.31E+07,2.07E-08,6.67E-09,1.00E+10,2.19E-04,5.93E-01,1.51E-01,8.81E+05,7.97E+00,8.45E-02,3.79E+00,1.36E+01,9.23E+05,6.12E+05,7.80E+04,4.43E+04,2.09E+04,1.48E+04,9.43E+03,4.96E+03,2.67E+03,1.15E+03,p3Zarc,B,1.00E-09,1.59E+04,1.59E-01,2024-11-19/13:00:10
BC29116-2024-11-07.z,1.50E+03,8.91E+05,8.32E+05,1.36E-09,1.74E-11,6.09E-01,1.10E+04,1.51E+03,1.36E-09,1.73E-11,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,6.95E+11,1.81E-12,2.29E-12,5.66E+04,5.11E-06,1.65E-06,5.23E-01,1.70E+00,1.31E+07,2.07E-08,6.67E-09,1.00E+10,2.19E-04,5.93E-01,1.51E-01,8.81E+05,7.97E+00,8.45E-02,3.79E+00,1.36E+01,9.23E+05,6.12E+05,7.80E+04,4.43E+04,2.09E+04,1.48E+04,9.43E+03,4.96E+03,2.67E+03,1.15E+03,p3Zarc,B,1.00E-09,1.59E+04,1.59E-01,2024-11-19/13:00:30
BC29121-2024-11-08.z,3.54E+03,3.11E+05,3.00E+05,4.31E-09,2.77E-11,5.69E-01,1.91E+04,3.58E+03,4.21E-09,2.71E-11,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,9.23E+10,1.37E-11,1.72E-11,7.12E+03,5.64E-05,2.76E-05,5.61E-01,8.11E-01,1.33E+07,2.95E-08,1.44E-08,1.00E+10,1.19E-04,6.10E-01,-2.03E+00,3.09E+05,3.69E+00,5.06E-02,1.99E+00,7.11E+00,3.22E+05,2.02E+05,1.63E+04,7.74E+03,3.70E+03,2.66E+03,1.72E+03,9.08E+02,4.87E+02,2.08E+02,p3Zarc,B,1.00E-09,2.51E+04,1.59E-01,2024-11-19/13:01:01
BC29126-2024-11-08.z,2.51E+04,5.33E+05,3.82E+05,9.37E-10,1.95E-11,6.72E-01,2.14E+04,2.68E+04,8.25E-10,1.72E-11,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,1.66E+11,7.62E-12,9.61E-12,1.26E+05,7.49E-07,1.90E-09,2.83E-01,6.64E+02,1.72E+06,4.19E-08,1.06E-10,1.00E+10,7.36E-04,5.49E-01,-2.08E+00,5.24E+05,1.93E+01,9.05E-02,4.06E+00,1.35E+01,5.48E+05,3.57E+05,4.96E+04,2.45E+04,1.10E+04,8.10E+03,5.57E+03,3.21E+03,1.83E+03,8.21E+02,p3Zarc,B,1.00E-09,2.51E+04,1.59E-01,2024-11-19/13:01:34
BC29127-2024-11-08.z,7.20E+03,4.58E+05,3.84E+05,1.94E-09,1.57E-11,5.99E-01,2.64E+04,7.33E+03,1.86E-09,1.51E-11,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,1.53E+11,8.24E-12,1.04E-11,6.63E+04,3.60E-06,1.67E-07,3.18E-01,1.44E+01,2.70E+06,7.55E-08,3.50E-09,1.00E+10,2.02E-04,7.06E-01,6.82E-03,4.47E+05,8.30E+00,1.02E-01,5.91E+00,1.92E+01,4.67E+05,3.00E+05,4.74E+04,2.70E+04,1.32E+04,9.91E+03,6.87E+03,3.99E+03,2.28E+03,1.02E+03,p3Zarc,C,1.00E-09,3.98E+04,1.59E-02,2024-11-19/13:04:24
BC29131-2024-11-07.z,1.34E+04,1.49E+06,1.31E+06,2.30E-09,2.62E-11,5.65E-01,4.65E+03,1.35E+04,2.26E-09,2.57E-11,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,1.74E+12,7.23E-13,9.12E-13,1.71E+05,1.28E-06,2.09E-07,4.56E-01,4.45E+00,1.15E+07,1.68E-08,2.74E-09,1.00E+10,1.57E-05,4.84E-01,-2.01E+00,1.47E+06,8.20E+11,1.56E-01,5.55E+00,2.00E+01,1.53E+06,1.12E+06,2.39E+05,1.19E+05,5.01E+04,3.50E+04,2.26E+04,1.21E+04,6.62E+03,2.87E+03,p3Zarc,C,1.00E-09,6.31E+03,1.00E-01,2024-11-19/13:05:20
BC29133-2024-11-08.z,1.47E+02,4.70E+06,2.98E+06,3.81E-10,1.34E-11,6.70E-01,3.98E+03,1.47E+02,3.81E-10,1.34E-11,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,8.89E+12,1.42E-13,1.79E-13,1.72E+06,8.97E-08,4.32E-10,2.59E-01,2.14E+02,8.15E+06,1.20E-08,5.79E-11,1.00E+10,7.27E-06,5.72E-01,-8.89E-02,4.50E+06,5.55E+12,2.00E-01,9.55E+00,3.09E+01,4.73E+06,3.74E+06,9.45E+05,4.56E+05,2.13E+05,1.60E+05,1.12E+05,6.54E+04,3.77E+04,1.70E+04,p3Zarc,C,1.00E-09,2.51E+03,1.59E-01,2024-11-19/13:06:06
